City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
2,Presidencia Roque Saenz Pena,AR,78.89,broken clouds,-26.7852,-60.4388,Hotel Gualok
4,Arraial Do Cabo,BR,73.36,broken clouds,-22.9661,-42.0278,Pousada Porto Praia
8,Kalmunai,LK,78.87,broken clouds,7.4167,81.8167,VS Villa
20,Vaini,TO,74.35,light rain,-21.2,-175.2,Keleti Beach Resort
28,Puerto Ayora,EC,75.16,broken clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
34,Manta,EC,76.78,few clouds,-0.95,-80.7333,Balandra Hotel
37,Ribeira Grande,PT,70.7,broken clouds,38.5167,-28.7,Quinta da Meia Eira
41,Gat,IL,79.39,clear sky,31.61,34.7642,OlusHome
42,Yellowknife,CA,70.32,broken clouds,62.456,-114.3525,The Explorer Hotel
47,Banda Aceh,ID,78.8,overcast clouds,5.5577,95.3222,OYO 884 Rumoh PMI Hotel
55,Nhulunbuy,AU,79.41,overcast clouds,-12.2333,136.7667,East Arnhem Real Estate
56,Luanda,AO,72.0,overcast clouds,-8.8368,13.2343,EPIC SANA Luanda
64,Vaijapur,IN,75.51,overcast clouds,19.9167,74.7333,HOTEL MATOSHRI
69,Atuona,PF,77.05,clear sky,-9.8,-139.0333,Villa Enata
71,Lehigh Acres,US,75.22,moderate rain,26.6254,-81.6248,Lehigh Resort Club
76,Bambous Virieux,MU,71.85,broken clouds,-20.3428,57.7575,Casa Tia Villa
77,Alofi,NU,71.49,moderate rain,-19.0595,-169.9187,Taloa Heights
89,Hervey Bay,AU,72.01,overcast clouds,-25.2986,152.8535,Shelly Bay Resort
92,General Roca,AR,70.63,clear sky,-39.0333,-67.5833,Hotel El Recreo
93,Sibolga,ID,75.33,overcast clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
95,Bousso,TD,72.7,overcast clouds,10.4795,16.7117,
97,Katsuura,JP,70.75,broken clouds,35.1333,140.3,Katsuura Hotel Mikazuki
102,Santa Maria,BR,72.7,clear sky,-29.6842,-53.8069,Hotel Morotin
107,Santiago,CL,72.84,clear sky,-33.4569,-70.6483,Hotel Panamericano
108,Sungai Besar,MY,75.92,overcast clouds,3.6746,100.9867,NIDA Rooms Sabak Bernam Comfort
110,Palauig,PH,78.73,overcast clouds,15.435,119.9045,Villa Raphael Resort
112,Nazare,BR,70.92,clear sky,-13.035,-39.0144,Hotel Victória Réghia
114,Howard Springs,AU,78.71,scattered clouds,-12.497,131.047,buffalo beach hostel
123,Itarema,BR,78.3,clear sky,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
128,Tateyama,JP,70.11,scattered clouds,34.9833,139.8667,Tateyama Seaside Hotel
129,Iracoubo,GF,79.93,scattered clouds,5.4802,-53.2011,Le Gîte d’Iracoubo
131,Torbay,CA,70.57,broken clouds,47.6666,-52.7314,Gallows Cove
133,Sorong,ID,78.19,overcast clouds,-0.8833,131.25,Waigo Splash Hotel
134,Sirohi,IN,76.55,broken clouds,24.8833,72.8667,Dheeraj Kumar
135,Ler,SS,74.5,clear sky,8.3018,30.1418,Leer Humanitarian Hub
136,Sterling,US,70.11,broken clouds,39.0062,-77.4286,Hampton Inn & Suites Washington-Dulles International Airport
138,Talara,PE,74.16,clear sky,-4.5772,-81.2719,Hostal Oro Negro
148,Morondava,MG,76.28,clear sky,-20.2833,44.2833,La Case Bambou
150,Buenos Aires,AR,71.28,clear sky,-34.6132,-58.3772,Hotel NH Buenos Aires City
151,Souillac,MU,71.98,broken clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
153,Robertsport,LR,77.97,broken clouds,6.7533,-11.3686,Kwepunha Retreat
162,Westport,US,70.83,few clouds,41.1415,-73.3579,The Westport Inn
165,Malakal,SS,73.9,few clouds,9.5334,31.6605,Nile Palace Hotel
172,Mahebourg,MU,71.89,broken clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
175,Barra Dos Coqueiros,BR,78.82,few clouds,-10.9089,-37.0386,Quality Hotel Aracaju
176,Hithadhoo,MV,79.45,moderate rain,-0.6,73.0833,Scoop Guest House
180,Atambua,ID,74.73,overcast clouds,-9.1061,124.8925,Ros Muskanan
182,Port-Gentil,GA,76.96,scattered clouds,-0.7193,8.7815,Fengshui Residence
195,Gualaquiza,EC,73.49,overcast clouds,-3.4,-78.55,Hotel Merceditas
203,Nizwa,OM,78.89,clear sky,22.9333,57.5333,Orient Apartments
211,Sancti Spiritus,CU,79.47,overcast clouds,21.9297,-79.4425,Hostal El Parque
213,Mackenzie,CA,71.82,clear sky,55.2999,-123.1698,
