City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Mataura,NZ,-46.1927,168.8643,58.35,71,38,3.87,scattered clouds
1,Rikitea,PF,-23.1203,-134.9692,69.6,59,66,9.64,broken clouds
2,Presidencia Roque Saenz Pena,AR,-26.7852,-60.4388,78.89,32,54,13.06,broken clouds
3,Kaitangata,NZ,-46.2817,169.8464,56.82,68,50,6.2,scattered clouds
4,Arraial Do Cabo,BR,-22.9661,-42.0278,73.36,94,75,8.05,broken clouds
5,Bredasdorp,ZA,-34.5322,20.0403,52.48,92,24,3.42,few clouds
6,Guerrero Negro,MX,27.9769,-114.0611,86.4,50,7,8.9,clear sky
7,Kahului,US,20.8947,-156.47,87.82,61,20,20.71,few clouds
8,Kalmunai,LK,7.4167,81.8167,78.87,80,73,4.83,broken clouds
9,Pevek,RU,69.7008,170.3133,28.53,76,65,4.56,broken clouds
10,Ikwiriri,TZ,-7.9562,38.9716,67.93,90,28,2.55,scattered clouds
11,Lagoa,PT,39.05,-27.9833,69.82,67,62,17.92,broken clouds
12,Evanston,US,42.0411,-87.6901,59.52,51,75,16.11,broken clouds
13,Novo Aripuana,BR,-5.1206,-60.3797,81.52,66,61,2.06,broken clouds
14,Qaanaaq,GL,77.484,-69.3632,31.23,99,99,1.45,light snow
15,Kavieng,PG,-2.5744,150.7967,83.59,65,66,14.54,broken clouds
16,Sola,VU,-13.8833,167.55,83.07,79,40,2.3,scattered clouds
17,Barrow,US,71.2906,-156.7887,30.22,80,100,11.5,overcast clouds
18,Bethel,US,41.3712,-73.414,67.01,65,100,6.91,overcast clouds
19,Muhos,FI,64.808,25.9931,46.18,96,100,4.94,overcast clouds
20,Vaini,TO,-21.2,-175.2,74.35,85,85,11.81,light rain
21,Pisco,PE,-13.7,-76.2167,65.01,70,100,3.71,overcast clouds
22,Severo-Kurilsk,RU,50.6789,156.125,50.13,75,14,16.8,few clouds
23,Lyman,UA,48.9884,37.8023,57.4,88,100,2.95,light rain
24,Ushuaia,AR,-54.8,-68.3,44.26,76,75,29.93,light rain
25,Omsukchan,RU,62.5333,155.8,30.96,83,94,1.66,overcast clouds
26,Hobart,AU,-42.8794,147.3294,52.27,92,75,8.05,broken clouds
27,Sorland,NO,67.667,12.6934,51.66,78,60,10.8,broken clouds
28,Puerto Ayora,EC,-0.7393,-90.3518,75.16,86,81,5.01,broken clouds
29,Makakilo City,US,21.3469,-158.0858,86.32,51,75,14.97,broken clouds
30,Huntington,US,38.4193,-82.4452,67.33,41,0,9.22,clear sky
31,Klaksvik,FO,62.2266,-6.589,45.52,90,75,20.22,broken clouds
32,Saldanha,ZA,-33.0117,17.9442,48.25,89,0,7.78,clear sky
33,Barra Da Estiva,BR,-13.6261,-41.3269,67.84,66,4,5.75,clear sky
34,Manta,EC,-0.95,-80.7333,76.78,69,20,12.66,few clouds
35,Valparaiso,CL,-33.0393,-71.6273,64.63,84,0,12.66,clear sky
36,Tilichiki,RU,60.4667,166.1,37.04,66,100,4.14,overcast clouds
37,Ribeira Grande,PT,38.5167,-28.7,70.7,67,69,14.7,broken clouds
