City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Hermanus,ZA,2022-09-24 20:20:21,-34.4187,19.2345,58.8,88,100,8.93
1,Tigil,RU,2022-09-24 20:28:19,57.8,158.6667,37.89,75,100,11.74
2,Morehead,US,2022-09-24 20:28:20,37.2711,-87.1764,86.79,44,0,4.61
3,Butaritari,KI,2022-09-24 20:28:21,3.0707,172.7902,81.46,74,5,11.95
4,Tatawin,TN,2022-09-24 20:28:21,32.9297,10.4518,71.89,61,6,12.64
5,Mataura,NZ,2022-09-24 20:28:22,-46.1927,168.8643,49.48,89,100,6.64
6,Hirara,JP,2022-09-24 20:28:22,24.8,125.2833,81.68,82,68,13.49
7,Tasiilaq,GL,2022-09-24 20:28:23,65.6145,-37.6368,51.96,37,37,33.93
8,Sao Filipe,CV,2022-09-24 20:24:50,14.8961,-24.4956,78.67,81,21,8.25
9,Busselton,AU,2022-09-24 20:19:04,-33.65,115.3333,55.08,71,100,2.57
10,Kambja,EE,2022-09-24 20:28:25,58.2335,26.696,44.33,81,40,5.75
11,Vaini,TO,2022-09-24 20:28:26,-21.2,-175.2,77.16,78,75,9.22
12,Rikitea,PF,2022-09-24 20:28:27,-23.1203,-134.9692,70.3,70,76,16.11
13,Vardo,NO,2022-09-24 20:26:36,70.3705,31.1107,48.18,81,67,18.41
14,East London,ZA,2022-09-24 20:20:17,-33.0153,27.9116,67.46,87,100,14.34
15,Cidreira,BR,2022-09-24 20:18:57,-30.1811,-50.2056,60.69,69,0,9.53
16,Sao Gabriel Da Cachoeira,BR,2022-09-24 20:28:29,-0.1303,-67.0892,88.23,55,100,1.16
17,Semey,KZ,2022-09-24 20:28:29,50.4111,80.2275,55.65,37,8,5.41
18,Yellowknife,CA,2022-09-24 20:26:37,62.456,-114.3525,43.32,52,75,17.27
19,New Norfolk,AU,2022-09-24 20:19:07,-42.7826,147.0587,39.7,88,74,2.71
20,Vila Franca Do Campo,PT,2022-09-24 20:21:54,37.7167,-25.4333,74.19,81,29,9.22
21,Vila Velha,BR,2022-09-24 20:28:07,-20.3297,-40.2925,71.55,78,0,14.97
